ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0	0,0			179	99
1	0,0	0,0			103	99
2	0,0	0,0			150	99
3	0,0	0,0			177	99
4	0,0	0,0			198	99
5	0,0	0,0			103	99
6	0,0	0,0			124	99
7	0,0	0,0			120	99
8	0,0	0,0			164	99
9	0,0	0,0			123	99
10	19,15	15,7			179	99
11	56,39	2,2			103	99
12	38,51	3,2			150	99
13	1933,1171	6,9			198	99
14	1840,1137	41,27			117	99
15	1,21	0,0			198	99
16	137,104	0,1			198	99
17	0,0	0,0			145	99
18	1,0	0,0			117	99
19	2,3	0,0			198	99
20	5,12	0,1			198	99
21	49,35	21,11			103	99
22	157,119	1,0			198	99
23	0,0	1,0			171	99
24	0,0	0,0			103	99
25	0,0	0,0			102	99
26	12,5	2,8			198	99
27	21,23	110,169			118	99
28	2,5	0,2			118	99
29	42,71	2,7			150	99
30	22,12	52,50			118	99
31	0,0	1,0			198	99
32	0,0	0,0			198	99
33	0,0	0,0			132	99
34	0,0	0,0			198	99
35	1,0	0,0			198	99
36	91,47	2,5			195	99
37	0,0	0,0			198	99
38	0,0	0,0			198	99
39	1,0	0,0			198	99
40	0,0	0,0			141	99
41	26,9	0,1			131	99
42	4,5	0,0			126	99
43	23,12	0,0			126	99
44	12,3	3,1			108	99
45	297,184	1,1			198	99
46	1,1	0,0			108	99
47	5,6	344,286			198	99
48	5,13	191,142			105	99
49	0,0	0,0			143	99
50	0,0	0,0			103	99
51	0,0	0,0			198	99
52	6,12	1,0			107	99
53	35,27	4,0			198	99
54	0,0	0,0			198	99
55	4,5	22,8			111	99
56	0,0	0,0			194	99
57	2,0	1,0			198	99
58	49,24	1,0			198	99
59	115,66	27,25			198	99
60	18,21	1,1			198	99
61	431,304	0,0			198	99
62	2,3	13,7			106	99
63	2,0	7,3			106	99
64	6,10	10,6			106	99
65	0,0	0,0			129	99
66	0,0	0,0			103	99
67	1,0	13,13			109	99
68	443,364	18,18			150	99
69	226,145	0,0			150	99
70	239,154	0,0			120	99
71	103,63	33,15			135	99
72	132,75	0,1			198	99
73	0,2	0,0			113	99
74	0,2	0,2			118	99
75	0,0	0,2			104	99
76	1,0	0,1			105	99
77	1762,1510	17,21			150	99
78	32,22	106,88			102	99
79	12,4	0,0			150	99
80	1,3	0,0			198	99
81	0,1	198,151			198	99
82	146,110	0,0			103	99
83	342,241	94,57			144	99
84	301,203	17,10			126	99
85	0,0	1,0			115	99
86	0,0	0,0			115	99
87	0,0	0,0			115	99
88	0,0	0,0			111	99
89	15,14	3,14			198	99
90	1,0	1,0			132	99
91	2,1	1,0			145	99
92	7,8	1,0			158	99
93	7,7	2,0			112	99
94	8,12	0,0			135	99
95	155,176	0,0			138	99
96	1,0	0,0			137	99
97	1,0	95,117			176	99
98	0,0	95,117			138	99
99	102,123	3,0			198	99
100	81,55	376,258			110	99
101	1953,1501	24,26			198	99
102	9,6	260,128			198	99
103	21,14	0,1			198	99
104	287,270	0,0			126	99
105	378,296	6,2			198	99
106	21,22	15,11			137	99
107	956,745	26,13			141	99
108	147,97	0,0			131	99
109	0,0	11,16			117	99
110	267,243	0,0			198	99
111	22,21	0,1			198	99
112	22,21	1,1			198	99
113	0,1	1,1			103	99
114	33,18	0,1			103	99
115	5,1	1,8			198	99
116	0,0	0,0			108	99
117	11,3	0,0			125	99
118	4,2	1,1			160	99
119	12,9	61,70			187	99
120	33,23	3,0			105	99
121	1,2	0,1			105	99
122	1,2	1,0			198	99
123	449,245	1,0			198	99
124	14,20	10,1			127	99
125	16,21	11,7			127	99
126	0,0	0,0			123	99
127	0,0	7,3			129	99
128	1,0	0,0			198	99
129	1,0	0,0			105	99
130	80,65	1,0			163	99
131	0,1	0,0			113	99
132	44,61	0,1			198	99
133	0,14	0,5			106	99
134	1,4	23,24			103	99
135	162,156	175,127			198	99
136	12,35	0,1			198	99
137	1,15	0,2			198	99
138	6,10	8,6			158	99
139	28,51	0,0			198	99
140	35,57	0,0			198	99
141	0,0	0,0			198	99
142	26,9	0,0			120	99
143	0,3	23,6			198	99
144	1,0	0,0			101	99
145	0,0	12,10			101	99
146	0,0	0,1			103	99
147	51,49	0,0			133	99
148	0,0	43,33			103	99
149	0,0	4,1			131	99
150	0,0	1,2			121	99
151	0,0	0,0			198	99
152	1,2	0,0			190	99
153	0,2	0,1			190	99
154	12,6	0,0			198	99
155	19,11	0,0			198	99
156	18,11	0,0			172	99
157	45,39	344,219			154	99
158	3,9	662,537			174	99
159	95,70	0,1			198	99
160	2,4	15,10			129	99
161	15,20	1328,939			141	99
162	7,19	9953,8921			198	99
163	17,13	14,42			198	99
164	1,2	0,0			173	99
165	0,0	1,1			139	99
166	0,0	0,0			120	99
167	75,46	1131,830			158	99
168	3,3	0,0			185	99
169	0,0	0,0			135	99
170	0,0	2,0			103	99
171	61,33	0,0			198	99
172	0,0	0,0			185	99
173	0,0	0,0			103	99
174	0,0	0,0			130	99
175	0,0	0,0			150	99
176	2,4	14,31			198	99
177	34,24	0,0			103	99
178	0,0	57,32			123	99
179	0,0	22,8			127	99
180	135,74	0,1			135	99
181	3,4	0,1			198	99
182	87,63	42,45			108	99
183	18,18	2,1			180	99
184	2,13	0,0			165	99
185	312,251	0,0			198	99
186	8,3	1,0			146	99
187	16,7	33,36			146	99
188	14,8	434,343			198	99
189	0,0	415,337			198	99
190	0,1	238,268			113	99
191	30,29	68,51			150	99
192	125,124	2,2			154	99
193	17,14	35,24			104	99
194	0,5	6,2			104	99
195	1,1	2,2			198	99
196	34,19	7,5			135	99
197	236,144	4,3			112	99
198	6,1	0,0			198	99
199	4,2	1,0			198	99
200	6,9	1,0			173	99
201	0,0	0,0			198	99
202	0,0	0,0			112	99
203	0,0	0,0			124	99
204	0,0	0,0			190	99
205	1,3	1,1			198	99
206	4783,2955	0,1			198	99
207	433,283	13,10			186	99
208	494,337	370,267			126	99
209	26,24	608,446			153	99
210	13,14	608,446			198	99
211	7,8	16,11			198	99
212	0,1	2,2			147	99
213	0,0	0,0			134	99
214	31,82	320,343			198	99
215	334,371	2,2			198	99
216	28,22	130,54			175	99
217	56,206	7,24			158	99
218	0,0	0,0			109	99
219	6,3	196,132			132	99
220	4,4	444,335			198	99
221	51,89	0,0			106	99
222	347,303	0,2			109	99
223	14,9	420,645			110	99
224	537,332	3,7			112	99
225	15,86	4,4			168	99
226	543,415	0,0			152	99
227	4243,2951	180,176			125	99
228	27,10	0,3			161	99
229	1083,1226	12,7			198	99
230	0,0	0,0			198	99
231	1,0	9,5			116	99
232	8,7	0,0			198	99
233	0,0	0,0			198	99
234	0,0	0,0			198	99
235	94,70	1,0			198	99
236	56,87	4,11			198	99
237	106,91	1,0			198	99
238	69,65	0,0			198	99
239	0,1	0,0			169	99
240	0,0	0,0			163	99
241	0,1	0,0			105	99
242	0,0	0,0			168	99
243	4,4	81,61			130	99
244	5,4	9,14			130	99
245	9,10	5,1			198	99
246	63,97	28,28			144	99
247	2,1	1113,1024			149	99
248	1,5	851,884			198	99
249	0,1	0,2			198	99
250	3,6	0,2			198	99
251	0,0	0,1			108	99
252	2713,2025	2,1			198	99
253	204,230	3,3			151	99
254	517,451	58,44			151	99
255	0,0	0,0			135	99
256	0,0	0,0			198	99
257	0,0	0,0			168	99
258	0,0	0,0			198	99
259	18,6	277,272			155	99
260	23,18	277,272			198	99
261	13,14	0,0			198	99
262	6,3	6,3			198	99
263	36,31	2,2			119	99
264	81,65	0,0			194	99
265	0,0	0,0			198	99
266	0,0	0,0			149	99
267	1,0	186,116			198	99
268	1,0	0,1			198	99
269	615,471	1,0			198	99
270	0,0	0,0			103	99
271	0,0	0,0			198	99
272	0,0	0,0			143	99
273	0,0	0,0			143	99
274	0,0	0,0			198	99
275	1,0	0,0			109	99
276	0,0	0,0			109	99
277	0,0	0,0			191	99
278	0,0	0,0			156	99
279	74,195	0,0			198	99
280	36,38	0,1			198	99
281	5,41	8,20			198	99
282	0,0	0,0			117	99
283	0,0	0,0			186	99
284	2,1	0,0			198	99
285	11,19	147,263			125	99
286	6,9	3,11			125	99
287	3,22	0,0			135	99
288	0,0	0,0			198	99
289	0,0	0,0			198	99
290	0,0	0,0			168	99
291	0,0	0,0			198	99
292	0,0	0,0			136	99
293	0,0	0,0			104	99
294	0,0	0,0			134	99
295	0,0	0,0			134	99
296	78,81	392,383			198	99
297	1255,858	32,23			188	99
298	960,628	1,5			147	99
299	32,29	1,1			120	99
300	3,0	3,2			149	99
301	31,26	38,27			150	99
302	4,2	194,161			110	99
303	19,14	2,0			150	99
304	5,2	1175,673			198	99
305	420,434	1,0			198	99
306	0,0	0,0			198	99
307	18,19	64,36			123	99
308	0,0	0,0			198	99
309	44,38	2610,2093			198	99
310	25,20	1,0			198	99
311	25,28	10,20			198	99
312	60,29	2,1			198	99
313	27,18	3,4			198	99
314	0,0	0,0			135	99
315	163,156	210,264			198	99
316	1,1	18,10			114	99
317	279,217	2,0			101	99
318	158,130	0,0			139	99
319	32,15	0,0			109	99
320	773,546	0,0			139	99
321	741,531	0,0			129	99
322	210,162	5,3			139	99
323	884,623	5,3			198	99
324	731,495	56,34			198	99
325	1,1	568,404			147	99
326	524,306	21,9			198	99
327	954,618	5,0			149	99
328	444,320	5,0			198	99
329	23,8	515,302			180	99
330	38,15	238,170			197	99
331	0,0	0,0			109	99
332	0,0	62,65			104	99
333	35,50	0,0			198	99
334	0,0	0,0			129	99
335	4,7	126,64			198	99
336	0,0	0,0			101	99
337	37,21	3,0			176	99
338	0,0	0,0			198	99
339	3,19	0,0			187	99
340	4,24	0,0			195	99
341	13,41	0,0			198	99
342	1,5	0,0			107	99
343	12,37	0,0			171	99
344	12,33	1,1			163	99
345	0,1	1,1			118	99
346	5,0	64,42			198	99
347	9,5	984,838			127	99
348	3,4	0,0			198	99
349	4,24	20,18			198	99
350	6,11	0,0			198	99
351	0,0	0,0			139	99
352	0,0	0,0			155	99
353	24,28	0,0			107	99
354	2308,2362	1,2			198	99
355	0,0	0,0			109	99
356	258,156	0,0			153	99
357	636,388	0,1			186	99
358	52,84	1,2			198	99
359	15,7	451,300			197	99
360	23,11	451,300			198	99
361	26,18	1,0			198	99
362	0,0	0,0			149	99
363	0,0	0,0			117	99
364	0,0	0,0			198	99
365	13,11	0,0			153	99
366	0,0	0,0			169	99
367	105,70	0,0			198	99
368	0,0	0,0			198	99
369	3,1	1,0			117	99
370	5,7	128,67			198	99
371	0,0	0,0			147	99
372	3,0	0,0			198	99
373	0,0	0,0			186	99
374	0,0	0,0			116	99
375	321,237	191,181			153	99
376	7,6	194,121			198	99
377	0,0	0,0			191	99
378	0,0	0,0			198	99
379	0,0	0,0			198	99
380	0,0	0,0			198	99
381	0,0	0,0			198	99
382	0,0	0,0			156	99
383	0,0	0,0			156	99
384	0,0	0,0			198	99
385	0,0	0,0			198	99
386	0,0	0,0			125	99
387	0,0	0,0			198	99
388	0,0	0,0			198	99
389	0,0	0,0			198	99
390	0,0	0,0			198	99
391	201,169	75,40			198	99
392	1,3	18,27			195	99
393	12,14	198,186			174	99
394	0,0	1,1			198	99
395	1158,657	869,534			198	99
396	0,0	0,0			198	99
397	0,0	0,0			198	99
398	5,1	4,4			198	99
399	4,0	0,3			198	99
400	1181,716	0,0			198	99
401	2,2	0,0			161	99
402	4,9	2,0			105	99
403	82,60	0,2			198	99
404	344,194	0,0			198	99
405	156,111	0,0			136	99
406	3,4	2,3			134	99
407	13,12	89,74			134	99
408	0,0	0,0			198	99
409	0,0	0,2			198	99
410	0,2	0,0			198	99
411	0,0	0,0			148	99
412	5,4	26,25			198	99
413	0,0	0,0			198	99
414	14,5	0,0			198	99
415	0,2	55,24			104	99
416	0,0	0,0			102	99
417	0,0	0,0			104	99
418	5,4	25,30			160	99
419	2,1	306,282			132	99
420	1,1	20,126			144	99
421	20,22	127,220			198	99
422	13,7	30,45			103	99
423	292,206	0,1			198	99
424	254,193	0,1			195	99
425	151,125	0,1			198	99
426	28,18	117,78			198	99
427	0,0	0,0			107	99
428	0,0	0,0			173	99
429	0,0	0,0			165	99
430	0,0	0,0			115	99
431	96,324	0,1			198	99
432	6,12	722,665			109	99
433	6,6	0,0			104	99
434	23,20	21,15			195	99
435	0,0	0,0			198	99
436	0,0	0,0			198	99
437	14,16	25,15			198	99
438	23,10	6529,4316			198	99
439	8,13	7,5			198	99
440	0,0	0,0			198	99
441	1,1	0,0			186	99
442	13,6	31,26			198	99
443	6,9	6,4			101	99
