ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0	0,0			198	198
1	0,0	0,0			198	198
2	0,0	0,0			198	198
3	0,0	0,0			198	196
4	0,0	0,0			198	198
5	10,15	78,48			116	154
6	1242,875	1765,1459			167	186
7	36,51	129,157			150	184
8	1,15	129,157			171	184
9	10,18	60,165			123	198
10	63,125	7,28			198	123
11	386,426	1302,937			177	198
12	329,413	495,754			198	198
13	193,263	46,205			165	198
14	616,400	1111,780			198	158
15	616,400	16,18			198	140
16	68,55	56,78			160	177
17	9,18	117,141			162	198
18	1,12	1,0			198	162
19	1,12	13,23			198	162
20	583,548	383,258			198	198
21	45,94	27,17			155	111
22	218,189	152,112			198	198
23	7,12	152,112			198	198
24	221,124	201,164			198	167
25	40,50	31,48			188	189
26	13,9	0,0			123	150
27	0,0	0,0			123	126
28	0,0	0,0			126	150
29	0,0	0,0			126	153
30	89,56	38,43			198	198
31	70,58	69,51			194	198
32	4,1	6,6			198	198
33	1,0	9,5			198	198
34	0,0	0,0			160	198
35	0,0	0,0			160	198
36	0,0	0,0			198	198
37	172,97	124,85			198	198
38	281,162	137,74			198	178
39	0,0	0,0			188	161
40	118,99	212,192			161	196
41	158,105	212,192			164	196
42	132,118	286,173			198	156
43	2,3	1,0			158	198
44	20,9	20,13			198	198
45	195,111	103,68			198	198
46	380,266	774,523			198	198
47	0,0	0,0			198	198
48	908,595	363,365			198	163
49	133,122	469,295			141	198
50	76,55	180,99			198	198
51	26,11	21,13			144	150
52	20,11	98,91			198	149
53	108,98	221,159			149	166
54	133,92	331,227			166	178
55	941,668	586,489			198	198
56	0,0	0,0			198	198
57	37,27	86,41			190	198
58	5,3	29,20			198	198
59	0,0	0,0			198	198
60	293,175	405,285			198	168
61	186,104	177,117			198	194
62	51,26	141,86			154	198
63	18,20	63,56			198	154
64	37,31	69,59			179	154
65	38,34	69,59			198	154
66	14,8	66,56			198	154
67	3,2	66,45			198	198
68	13,10	75,58			198	198
69	0,0	0,0			198	198
70	0,0	0,0			198	198
71	27,17	34,19			143	198
72	85,93	95,90			198	198
73	199,228	37,38			178	198
74	194,159	25,25			198	170
75	194,159	21,16			198	166
76	194,159	5,7			198	197
77	192,157	8,11			198	170
78	192,157	6,2			198	166
79	192,157	4,6			198	197
80	192,157	158,122			198	198
81	192,157	37,38			198	197
82	190,156	5,2			198	166
