ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0	0,0			198	99
1	0,0	0,0			198	99
2	0,0	0,0			198	99
3	0,0	0,0			198	99
4	0,0	0,0			198	99
5	0,0	0,0			198	99
6	0,0	0,0			198	99
7	0,0	0,0			198	99
8	0,0	0,0			198	99
9	0,3	19,14			198	99
10	0,3	7,4			198	99
11	13,15	15,7			198	99
12	6,7	11,4			198	99
13	49,41	1510,874			198	99
14	0,0	0,1			198	99
15	43,108	9,20			196	99
16	212,253	20,34			186	99
17	167,100	1707,1053			198	99
18	0,0	3,2			177	99
19	72,60	2159,1197			198	99
20	17,29	42,118			198	99
21	22,41	50,53			198	99
22	2,0	2,2			198	99
23	6,1	2,3			198	99
24	4,2	0,0			198	99
25	2,0	1,3			198	99
26	2,0	0,0			198	99
27	0,1	5,0			198	99
28	1,0	0,0			198	99
29	6,7	60,45			198	99
30	0,0	0,0			198	99
31	0,0	0,0			198	99
32	1,0	0,0			198	99
33	1,0	1,0			198	99
34	0,2	144,102			198	99
35	12,13	0,0			198	99
36	3,1	32,38			198	99
37	0,0	0,0			100	99
38	1,0	0,0			198	99
39	1,0	1,0			198	99
40	0,0	0,0			198	99
41	0,0	0,0			198	99
42	0,0	0,0			194	99
43	0,0	0,0			198	99
44	0,0	0,0			198	99
45	1,1	1,1			198	99
46	90,53	40,25			198	99
47	0,0	0,0			177	99
48	108,49	0,0			100	99
49	458,245	0,0			100	99
50	240,190	0,0			101	99
51	240,161	0,0			198	99
52	0,0	0,0			135	99
53	666,448	1,1			198	99
54	0,0	0,0			198	99
55	0,0	0,0			198	99
56	5,4	0,0			198	99
57	103,51	278,208			198	99
58	300,229	0,0			100	99
59	8,11	1,0			198	99
60	0,0	0,0			198	99
61	0,0	217,219			198	99
62	22,13	34,27			198	99
63	82,32	0,0			198	99
64	61,41	0,6			198	99
65	0,0	0,0			198	99
66	775,484	106,92			198	99
67	311,250	1905,1572			198	99
68	1,0	124,70			198	99
69	7,3	0,0			100	99
70	1,1	135,88			198	99
71	3,6	0,2			198	99
72	3,6	0,0			198	99
73	3,5	0,2			198	99
74	10,14	151,146			198	99
75	0,0	0,0			198	99
76	23,13	44,29			198	99
77	32,32	0,0			198	99
78	0,0	0,0			198	99
79	0,0	2,0			198	99
80	0,2	0,2			198	99
81	0,2	0,0			100	99
82	0,2	0,0			198	99
83	221,133	0,0			153	99
84	497,288	0,0			198	99
85	254,230	0,0			198	99
86	11,16	80,54			198	99
87	0,0	0,0			198	99
88	0,0	0,0			198	99
89	0,0	0,0			198	99
90	0,3	211,130			198	99
91	2,5	82,72			198	99
92	0,0	0,0			198	99
93	7,5	63,90			191	99
94	37,24	1,1			198	99
95	50,23	561,826			185	99
96	1421,999	24,26			198	99
97	43,29	555,523			198	99
98	17,20	540,548			198	99
99	26,12	260,128			198	99
100	23,10	0,0			198	99
101	57,32	85,109			192	99
102	75,55	63,92			198	99
103	5,12	64,89			198	99
104	408,332	0,0			198	99
105	28,42	4,31			198	99
106	4,3	35,39			198	99
107	2,3	7,14			198	99
108	16,16	205,225			198	99
109	42,38	677,556			198	99
110	192,176	247,260			198	99
111	0,2	4,5			198	99
112	2,1	86,65			198	99
113	7,6	103,87			181	99
114	8,1	136,115			198	99
115	631,466	0,0			198	99
116	105,70	15,7			198	99
117	8,3	1,3			159	99
118	12,3	408,282			180	99
119	22,8	310,279			185	99
120	0,0	0,0			198	99
121	13,10	53,50			198	99
122	0,3	33,18			198	99
123	0,3	0,1			198	99
124	114,171	12645,16295			198	99
125	3,0	35,20			198	99
126	0,2	26,14			198	99
127	5,9	0,0			198	99
128	1,4	43,30			198	99
129	7,15	3,0			198	99
