ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0	0,0			108	99
1	0,0	0,0			550	99
2	0,0	0,0			206	99
3	0,0	0,0			165	99
4	0,0	0,0			114	99
5	0,0	0,0			110	99
6	0,0	0,0			110	99
7	0,0	0,0			110	99
8	0,0	0,0			102	99
9	0,0	0,0			102	99
10	19,14	7,4			108	99
11	11,9	0,0			106	99
12	10,7	73,63			102	99
13	96,53	25,20			102	99
14	10,27	113,99			120	99
15	11,18	48,163			154	99
16	52,46	48,163			313	99
17	48,31	7,3			258	99
18	1,3	17,48			119	99
19	0,0	263,161			146	99
20	896,769	1,0			391	99
21	4,2	1961,1390			116	99
22	512,809	0,1			101	99
23	78,408	2,17			189	99
24	32,201	2,3			189	99
25	236,193	1,1			183	99
26	0,0	17,33			127	99
27	0,0	14,28			163	99
28	0,2	0,0			586	99
29	0,1	0,0			103	99
30	0,0	2,11			119	99
31	6,0	0,0			130	99
32	1,1	0,0			217	99
33	0,1	5,0			186	99
34	58,92	11,18			159	99
35	638,603	1,0			1357	99
36	444,315	2,4			126	99
37	1,1	0,0			130	99
38	459,425	6,12			217	99
39	2,0	0,0			345	99
40	0,0	0,0			110	99
41	14,6	1,0			107	99
42	3,1	3,3			173	99
43	0,0	1,0			102	99
44	0,2	0,0			104	99
45	134,91	1,0			265	99
46	1,0	0,0			141	99
47	1,1	0,0			135	99
48	155,89	1,0			108	99
49	662,369	5,2			1334	99
50	361,207	0,0			222	99
51	0,0	0,0			102	99
52	1707,1190	21,15			1028	99
53	210,144	183,130			102	99
54	8,3	1,7			167	99
55	3,12	1,2			143	99
56	111,75	521,277			102	99
57	0,0	0,0			119	99
58	34,23	1,1			104	99
59	0,0	0,0			144	99
60	1004,638	1,1			108	99
61	0,0	0,1			123	99
62	1,0	0,0			154	99
63	2,1	0,0			154	99
64	244,150	2,1			102	99
65	17,12	236,110			116	99
66	154,119	1,1			123	99
67	22,10	38,31			258	99
68	263,300	0,2			481	99
69	0,0	0,0			1162	99
70	0,0	0,0			194	99
71	0,0	0,0			104	99
72	0,1	0,0			110	99
73	0,0	0,0			129	99
74	0,0	0,0			136	99
75	0,0	0,0			122	99
76	0,0	0,0			149	99
77	0,0	0,0			102	99
78	1,0	0,0			325	99
79	254,137	5,0			150	99
80	0,0	0,0			4439	99
81	1,2	117,63			120	99
82	177,138	0,0			161	99
83	0,0	78,44			120	99
84	30,23	35,44			102	99
85	9,11	6,2			103	99
86	150,103	0,0			105	99
87	159,105	0,0			123	99
88	9,2	0,0			117	99
89	1,2	0,0			103	99
90	55,35	0,0			123	99
91	0,1	2,0			102	99
92	59,50	0,1			285	99
93	219,135	0,1			686	99
94	421,228	1,0			940	99
95	160,86	0,1			500	99
96	362,179	1,0			754	99
97	202,94	1,0			353	99
98	103,55	0,0			238	99
99	396,205	1,0			754	99
100	194,112	0,6			500	99
101	718,374	80,68			155	99
102	999,603	17,13			167	99
103	319,209	1,3			167	99
104	920,673	31,29			129	99
105	12965,7908	16,8			3439	99
106	0,0	128,97			105	99
107	3,3	0,0			171	99
108	3,5	0,0			212	99
109	8,7	0,0			279	99
110	0,2	0,0			140	99
111	5,4	0,0			207	99
112	5,2	0,0			166	99
113	0,0	0,0			271	99
114	0,0	0,0			108	99
115	0,0	0,0			750	99
116	0,0	9,11			131	99
117	0,2	0,0			2426	99
118	1107,646	1,0			3190	99
119	0,1	0,0			165	99
120	1034,678	0,0			495	99
121	349,302	0,1			732	99
122	1,0	70,81			160	99
123	10,26	0,1			110	99
124	0,2	0,1			126	99
125	0,1	10,25			115	99
126	1,1	0,0			110	99
127	40,25	1,1			279	99
128	1,1	0,0			102	99
129	2,1	0,0			508	99
130	0,0	0,0			189	99
131	1,2	2,0			102	99
132	31,130	0,1			149	99
133	40,89	2,9			164	99
134	2379,2140	0,0			2116	99
135	434,628	73,86			689	99
136	189,250	1,0			134	99
137	97,97	1,1			146	99
138	124,108	1,1			617	99
139	84,73	57,62			570	99
140	0,3	1388,912			113	99
141	3587,2579	40,41			598	99
142	311,256	2,2			148	99
143	135,114	0,1			258	99
144	3463,3375	4,0			440	99
145	4,3	14,10			102	99
146	18,72	2,3			133	99
147	12,81	0,2			111	99
148	29,37	1,0			360	99
149	22,20	0,0			208	99
150	18,19	4,1			170	99
151	15,10	1,0			105	99
152	379,295	140,146			105	99
153	410,320	0,0			116	99
154	171,171	0,0			110	99
155	0,0	0,0			137	99
156	5,3	408,282			120	99
157	23,18	0,0			114	99
158	21,19	15,15			1291	99
159	417,267	280,183			201	99
160	45,46	0,0			895	99
161	1,1	0,0			197	99
162	443,366	1,0			198	99
163	190,205	26,28			102	99
164	3,13	5,8			163	99
165	0,0	1,0			102	99
166	3,1	0,0			129	99
167	4,3	0,0			186	99
168	30,18	0,0			186	99
169	0,0	0,0			139	99
170	686,464	2,0			2031	99
171	3,6	3,2			104	99
172	0,0	0,0			102	99
173	8,8	3,3			102	99
174	14,28	2,5			102	99
175	2,3	6,1			103	99
176	2,4	0,0			105	99
177	14,8	1,0			143	99
178	32,16	0,0			148	99
179	0,0	0,1			114	99
180	0,0	0,0			127	99
181	0,0	0,0			134	99
182	0,0	0,0			106	99
183	1,0	0,0			131	99
184	0,0	0,0			144	99
185	9,1	114,74			102	99
186	9,9	112,97			102	99
187	3,1	27,68			120	99
188	24,63	0,1			103	99
189	2,1	0,1			185	99
190	4,6	158,159			130	99
191	20,32	0,1			458	99
192	10,41	0,0			279	99
193	25,37	1,1			130	99
194	6,12	1,2			130	99
195	0,3	12,13			129	99
196	6,1	38,32			161	99
197	1,0	36,29			115	99
198	18,36	0,0			131	99
199	652,1140	1,0			1958	99
200	34,29	1,0			103	99
201	80,45	1,6			221	99
202	0,0	0,0			106	99
203	0,0	0,0			109	99
204	0,0	0,0			102	99
205	4,0	16,7			125	99
206	0,0	0,0			532	99
207	190,117	26,16			154	99
208	191,117	19,10			158	99
209	27,16	19,10			103	99
210	5,2	3,5			102	99
211	0,0	0,0			155	99
212	0,0	0,0			225	99
213	0,8	25,17			150	99
214	0,8	4,5			155	99
215	25,17	4,5			104	99
216	6,10	697,389			259	99
217	11,11	9,5			132	99
218	1,2	1,2			156	99
219	1,0	0,0			148	99
220	0,0	0,0			142	99
221	0,0	0,0			193	99
222	161,141	3,6			413	99
223	3,3	64,40			141	99
224	134,127	3,0			2395	99
225	30,27	966,638			284	99
226	5,7	2,5			183	99
227	187,191	53,65			185	99
228	8466,6405	1,0			425	99
229	336,247	10696,7729			279	99
230	3,29	0,4			378	99
231	0,0	0,0			102	99
232	257,178	1,0			174	99
233	72,173	0,1			102	99
234	0,0	31,74			162	99
235	4,2	84,47			164	99
236	1,0	0,0			166	99
237	10,16	17,14			267	99
238	0,1	0,0			123	99
239	15,9	1,0			229	99
240	0,0	3,1			129	99
241	64,50	4724,2941			161	99
242	33,18	0,0			144	99
243	36,19	0,0			191	99
244	3,1	0,0			146	99
245	0,0	0,0			138	99
246	0,0	0,0			244	99
247	0,1	45,61			118	99
248	44,46	0,0			118	99
249	17,20	39,19			126	99
250	59,46	0,1			221	99
251	81,45	0,1			194	99
252	0,1	50,46			182	99
253	15,14	0,1			104	99
254	0,0	12,7			169	99
255	688,447	14,4			213	99
