#Gene stable ID	Transcript stable ID	Gene name
YBR024W	YBR024W_mRNA	SCO2
YDL245C	YDL245C_mRNA	HXT15
YBR232C	YBR232C_mRNA	
YDR320W-B	YDR320W-B_mRNA	
YBR021W	YBR021W_mRNA	FUR4
YGR014W	YGR014W_mRNA	MSB2
tT(AGU)O2	tT(AGU)O2_tRNA	
YKL119C	YKL119C_mRNA	VPH2
YPR031W	YPR031W_mRNA	NTO1
YKL066W	YKL066W_mRNA	
YJL076W	YJL076W_mRNA	NET1
YPL174C	YPL174C_mRNA	NIP100
YIL003W	YIL003W_mRNA	CFD1
YML066C	YML066C_mRNA	SMA2
YMR129W	YMR129W_mRNA	POM152
YBR140C	YBR140C_mRNA	IRA1
YGR242W	YGR242W_mRNA	
YKR047W	YKR047W_mRNA	
YKL029C	YKL029C_mRNA	MAE1
YLR154C-G	YLR154C-G_mRNA	
YPL028W	YPL028W_mRNA	ERG10
YDL235C	YDL235C_mRNA	YPD1
tR(ACG)E	tR(ACG)E_tRNA	
YER091C	YER091C_mRNA	MET6
YMR121C	YMR121C_mRNA	RPL15B
YDR356W	YDR356W_mRNA	SPC110
YDR337W	YDR337W_mRNA	MRPS28
YKL008C	YKL008C_mRNA	LAC1
YER055C	YER055C_mRNA	HIS1
YFR004W	YFR004W_mRNA	RPN11
YDR108W	YDR108W_mRNA	TRS85
YDL200C	YDL200C_mRNA	MGT1
YJR134C	YJR134C_mRNA	SGM1
Q0158	Q0158_rRNA	21S_RRNA
YMR135C	YMR135C_mRNA	GID8
YGR012W	YGR012W_mRNA	MCY1
YNL244C	YNL244C_mRNA	SUI1
YCR024C-A	YCR024C-A_mRNA	PMP1
YOR027W	YOR027W_mRNA	STI1
YBL101C	YBL101C_mRNA	ECM21
YLL040C	YLL040C_mRNA	VPS13
YDR181C	YDR181C_mRNA	SAS4
YML116W-A	YML116W-A_mRNA	YML116W-A
tG(UCC)O	tG(UCC)O_tRNA	SUF1
YPR096C	YPR096C_mRNA	
YJL210W	YJL210W_mRNA	PEX2
YLR216C	YLR216C_mRNA	CPR6
YGL118C	YGL118C_mRNA	
YMR021C	YMR021C_mRNA	MAC1
YNL079C	YNL079C_mRNA	TPM1
YBL058W	YBL058W_mRNA	SHP1
YJR127C	YJR127C_mRNA	RSF2
YLR088W	YLR088W_mRNA	GAA1
YKL128C	YKL128C_mRNA	PMU1
YLR100W	YLR100W_mRNA	ERG27
YKL106C-A	YKL106C-A_mRNA	
YBR080C	YBR080C_mRNA	SEC18
YOR292C	YOR292C_mRNA	
YNL219C	YNL219C_mRNA	ALG9
YPR179C	YPR179C_mRNA	HDA3
YOL062C	YOL062C_mRNA	APM4
YDR540C	YDR540C_mRNA	IRC4
YER087W	YER087W_mRNA	AIM10
YOL140W	YOL140W_mRNA	ARG8
YFL009W	YFL009W_mRNA	CDC4
YLL004W	YLL004W_mRNA	ORC3
YKL057C	YKL057C_mRNA	NUP120
YPL130W	YPL130W_mRNA	SPO19
YDL046W	YDL046W_mRNA	NPC2
YPL072W	YPL072W_mRNA	UBP16
tY(GUA)F1	tY(GUA)F1_tRNA	SUP11
YPR150W	YPR150W_mRNA	
YER180C	YER180C_mRNA	ISC10
YGL157W	YGL157W_mRNA	ARI1
YDR252W	YDR252W_mRNA	BTT1
YLR037C	YLR037C_mRNA	PAU23
YMR307W	YMR307W_mRNA	GAS1
YIL116W	YIL116W_mRNA	HIS5
YAL040C	YAL040C_mRNA	CLN3
YGL232W	YGL232W_mRNA	TAN1
YHR181W	YHR181W_mRNA	SVP26
YBR051W	YBR051W_mRNA	
YPL259C	YPL259C_mRNA	APM1
YDR461C-A	YDR461C-A_mRNA	
YJL087C	YJL087C_mRNA	TRL1
YIR005W	YIR005W_mRNA	IST3
YDL080C	YDL080C_mRNA	THI3
YJL209W	YJL209W_mRNA	CBP1
YLR286C	YLR286C_mRNA	CTS1
YEL044W	YEL044W_mRNA	IES6
YOR371C	YOR371C_mRNA	GPB1
YLR071C	YLR071C_mRNA	RGR1
YBL050W	YBL050W_mRNA	SEC17
YOR025W	YOR025W_mRNA	HST3
YHL001W	YHL001W_mRNA	RPL14B
YJR042W	YJR042W_mRNA	NUP85
YNL185C	YNL185C_mRNA	MRPL19
YBR129C	YBR129C_mRNA	OPY1
YKL145W	YKL145W_mRNA	RPT1
YIL015W	YIL015W_mRNA	BAR1
