ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
116	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
129	"ENSG00000100299.18_5"	"ARSA"	chr22	-	51065018	51065834	51065018	51065188	51065593	51065834
134	"ENSG00000100258.18_7"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966
136	"ENSG00000205593.12_6"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50754798	50754904
171	"ENSG00000100316.16_7"	"RPL3"	chr22	-	39709195	39710213	39709195	39709315	39710111	39710213
182	"ENSG00000100225.18_6"	"FBXO7"	chr22	+	32883731	32889268	32883731	32883815	32889091	32889268
266	"ENSG00000141959.17_3"	"PFKL"	chr21	+	45744738	45745943	45744738	45744800	45745843	45745943
353	"ENSG00000174365.20_6"	"SNHG11"	chr20	+	37075314	37077373	37075314	37075655	37077304	37077373
467	"ENSG00000213024.12_7"	"NUP62"	chr19	-	50430950	50432761	50430950	50431072	50432673	50432761
468	"ENSG00000213024.12_7"	"NUP62"	chr19	-	50430950	50432761	50430950	50431105	50432673	50432761
484	"ENSG00000142534.7_5"	"RPS11"	chr19	+	50000450	50001303	50000450	50000539	50000776	50001303
554	"ENSG00000188493.15_9"	"C19orf54"	chr19	-	41246760	41248675	41246760	41247344	41248303	41248675
555	"ENSG00000188493.15_9"	"C19orf54"	chr19	-	41246760	41248675	41246760	41247344	41248481	41248675
608	"ENSG00000105677.12_4"	"TMEM147"	chr19	+	36037573	36038142	36037573	36037710	36038020	36038142
767	"ENSG00000147454.14_4"	"SLC25A37"	chr8	+	23423620	23425891	23423620	23424326	23425771	23425891
845	"ENSG00000176444.19_5"	"CLK2"	chr1	-	155233740	155234341	155233740	155233831	155234258	155234341
918	"ENSG00000234585.6_2"	"CCT6P3"	chr7	+	64529086	64530862	64529086	64529168	64530723	64530862
1079	"ENSG00000278053.5_5"	"DDX52"	chr17	-	35979812	35981322	35979812	35979884	35981171	35981322
1091	"ENSG00000103510.20_7"	"KAT8"	chr16	+	31141776	31142714	31141776	31141927	31142515	31142714
1099	"ENSG00000115464.15_6"	"USP34"	chr2	-	61463160	61463524	61463160	61463208	61463459	61463524
1216	"ENSG00000231500.7_4"	"RPS18"	chr6	+	33243741	33244287	33243741	33243843	33244167	33244287
1220	"ENSG00000113597.18_6"	"TRAPPC13"	chr5	+	64956525	64960211	64956525	64956724	64960063	64960211
1299	"ENSG00000175455.15_8"	"CCDC14"	chr3	-	123674689	123675642	123674689	123674812	123675586	123675642
1357	"ENSG00000184584.13_8"	"STING1"	chr5	-	138860374	138861289	138860374	138860483	138861062	138861289
1386	"ENSG00000085998.14_5"	"POMGNT1"	chr1	-	46658976	46659597	46658976	46659060	46659526	46659597
1402	"ENSG00000143811.19_6"	"PYCR2"	chr1	-	226109557	226111471	226109557	226109779	226111400	226111471
1422	"ENSG00000214078.12_9"	"CPNE1"	chr20	-	34218360	34218956	34218360	34218412	34218822	34218956
1456	"ENSG00000064687.13_4"	"ABCA7"	chr19	+	1041508	1042175	1041508	1041602	1042062	1042175
1458	"ENSG00000064687.13_4"	"ABCA7"	chr19	+	1056905	1058746	1056905	1057428	1058616	1058746
1539	"ENSG00000134516.18_7"	"DOCK2"	chr5	+	169505978	169508988	169505978	169506150	169508845	169508988
1605	"ENSG00000168090.10_4"	"COPS6"	chr7	+	99688214	99688775	99688214	99688277	99688660	99688775
1631	"ENSG00000131652.14_4"	"THOC6"	chr16	+	3075924	3076289	3075924	3075989	3076251	3076289
1667	"ENSG00000163743.13_4"	"RCHY1"	chr4	-	76415790	76416992	76415790	76415873	76416933	76416992
1680	"ENSG00000182473.22_6"	"EXOC7"	chr17	-	74083734	74084643	74083734	74083801	74084544	74084643
1684	"ENSG00000149636.15_6"	"DSN1"	chr20	-	35399275	35399876	35399275	35399427	35399827	35399876
1733	"ENSG00000104695.13_5"	"PPP2CB"	chr8	-	30657061	30657271	30657061	30657164	30657232	30657271
1781	"ENSG00000143303.12_7"	"RRNAD1"	chr1	+	156701782	156702265	156701782	156701907	156702157	156702265
1785	"ENSG00000111011.18_5"	"RSRC2"	chr12	-	123003385	123005975	123003385	123003598	123005931	123005975
1813	"ENSG00000161960.15_5"	"EIF4A1"	chr17	+	7479841	7480483	7479841	7480008	7480373	7480483
1817	"ENSG00000161960.15_5"	"EIF4A1"	chr17	+	7480886	7481562	7480886	7481024	7481482	7481562
1831	"ENSG00000145191.15_8"	"EIF2B5"	chr3	+	183860839	183862012	183860839	183860930	183861886	183862012
1887	"ENSG00000092094.11_6"	"OSGEP"	chr14	-	20915773	20916330	20915773	20915849	20916264	20916330
1911	"ENSG00000115446.11_3"	"UNC50"	chr2	+	99225041	99226502	99225041	99225189	99226105	99226502
1928	"ENSG00000185324.22_6"	"CDK10"	chr16	+	89759681	89760640	89759681	89759734	89760580	89760640
1934	"ENSG00000166508.18_5"	"MCM7"	chr7	-	99696645	99697376	99696645	99696826	99697211	99697376
1987	"ENSG00000240065.8_5"	"PSMB9"	chr6	+	32823914	32825911	32823914	32823982	32825781	32825911
2021	"ENSG00000223705.9_4"	"NSUN5P1"	chr7	+	75044869	75045469	75044869	75045048	75045380	75045469
