ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607200	22607642	22607200	22607235	22607581	22607642
2	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607200	22607947	22607200	22607235	22607887	22607947
32	"ENSG00000239779.7_8"	"WBP1"	chr2	+	74686564	74686872	74686564	74686679	74686769	74686872
33	"ENSG00000239779.7_8"	"WBP1"	chr2	+	74686564	74686872	74686564	74686689	74686769	74686872
35	"ENSG00000143595.13_5"	"AQP10"	chr1	+	154296064	154297801	154296064	154296282	154296757	154297801
36	"ENSG00000136059.14_3"	"VILL"	chr3	+	38047671	38048191	38047671	38047743	38047939	38048191
38	"ENSG00000000971.16_4"	"CFH"	chr1	+	196709748	196711181	196709748	196709922	196711004	196711181
39	"ENSG00000149809.16_6"	"TM7SF2"	chr11	+	64880282	64880886	64880282	64880337	64880691	64880886
40	"ENSG00000149809.16_6"	"TM7SF2"	chr11	+	64880282	64880886	64880282	64880366	64880691	64880886
51	"ENSG00000092841.19_6"	"MYL6"	chr12	+	56553370	56553932	56553370	56553406	56553758	56553932
52	"ENSG00000092841.19_6"	"MYL6"	chr12	+	56553370	56553932	56553370	56553514	56553758	56553932
53	"ENSG00000092841.19_6"	"MYL6"	chr12	+	56553370	56553932	56553370	56553406	56553808	56553932
58	"ENSG00000137312.15_7"	"FLOT1"	chr6	-	30708966	30709481	30708966	30709110	30709390	30709481
59	"ENSG00000137312.15_7"	"FLOT1"	chr6	-	30708966	30709481	30708966	30709110	30709438	30709481
62	"ENSG00000136270.14_9"	"TBRG4"	chr7	-	45148425	45148886	45148425	45148682	45148821	45148886
72	"ENSG00000123066.8_8"	"MED13L"	chr12	-	116418554	116420408	116418554	116418743	116420188	116420408
74	"ENSG00000171453.20_6"	"POLR1C"	chr6	+	43487443	43487923	43487443	43487576	43487803	43487923
75	"ENSG00000171453.20_6"	"POLR1C"	chr6	+	43487443	43487923	43487443	43487643	43487803	43487923
95	"ENSG00000166508.18_5"	"MCM7"	chr7	-	99696645	99697026	99696645	99696826	99696901	99697026
104	"ENSG00000130244.12_6"	"FAM98C"	chr19	+	38896158	38897717	38896158	38896275	38897549	38897717
110	"ENSG00000159479.17_5"	"MED8"	chr1	-	43849587	43850777	43849587	43850223	43850716	43850777
111	"ENSG00000159479.17_5"	"MED8"	chr1	-	43851648	43852341	43851648	43851897	43852259	43852341
124	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	720122	720357	720122	720175	720248	720357
125	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	720122	720357	720122	720175	720265	720357
129	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	722253	722566	722253	722384	722488	722566
130	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	722253	722825	722253	722384	722702	722825
131	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	722253	722825	722253	722566	722702	722825
134	"ENSG00000002016.18_7"	"RAD52"	chr12	-	1025509	1025986	1025509	1025649	1025804	1025986
135	"ENSG00000002016.18_7"	"RAD52"	chr12	-	1025509	1025986	1025509	1025698	1025804	1025986
136	"ENSG00000002016.18_7"	"RAD52"	chr12	-	1025509	1025986	1025509	1025701	1025804	1025986
146	"ENSG00000131591.17_10"	"C1orf159"	chr1	-	1025732	1026754	1025732	1025808	1026657	1026754
148	"ENSG00000104884.16_10"	"ERCC2"	chr19	-	45872187	45872405	45872187	45872250	45872327	45872405
149	"ENSG00000130414.12_8"	"NDUFA10"	chr2	-	240951033	240954277	240951033	240951113	240954155	240954277
150	"ENSG00000130414.12_8"	"NDUFA10"	chr2	-	240951033	240954277	240951033	240951113	240954185	240954277
156	"ENSG00000133226.17_7"	"SRRM1"	chr1	+	24996610	24996806	24996610	24996764	24996766	24996806
165	"ENSG00000092531.10_5"	"SNAP23"	chr15	+	42805152	42805645	42805152	42805194	42805371	42805645
166	"ENSG00000092531.10_5"	"SNAP23"	chr15	+	42805152	42805645	42805152	42805194	42805533	42805645
167	"ENSG00000092531.10_5"	"SNAP23"	chr15	+	42805152	42805645	42805152	42805194	42805596	42805645
175	"ENSG00000149483.12_4"	"TMEM138"	chr11	+	61131721	61131990	61131721	61131787	61131904	61131990
181	"ENSG00000168003.16_5"	"SLC3A2"	chr11	+	62652648	62653080	62652648	62652829	62652936	62653080
182	"ENSG00000108559.12_6"	"NUP88"	chr17	-	5290705	5290990	5290705	5290786	5290924	5290990
193	"ENSG00000160201.11_5"	"U2AF1"	chr21	-	44520562	44524512	44520562	44520629	44524424	44524512
197	"ENSG00000182472.9_8"	"CAPN12"	chr19	-	39226009	39226184	39226009	39226069	39226141	39226184
198	"ENSG00000175164.15_7"	"ABO"	chr9	-	136132795	136132929	136132795	136132908	136132910	136132929
199	"ENSG00000099901.17_8"	"RANBP1"	chr22	+	20113825	20114704	20113825	20113891	20114474	20114704
202	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102
203	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47086392	47086622	47086392	47086498	47086558	47086622
204	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47086392	47086622	47086392	47086498	47086579	47086622
217	"ENSG00000095906.17_6"	"NUBP2"	chr16	+	1836537	1836956	1836537	1836656	1836738	1836956
218	"ENSG00000095906.17_6"	"NUBP2"	chr16	+	1836537	1836956	1836537	1836656	1836757	1836956
221	"ENSG00000095906.17_6"	"NUBP2"	chr16	+	1837941	1838208	1837941	1838052	1838138	1838208
222	"ENSG00000095906.17_6"	"NUBP2"	chr16	+	1837941	1838208	1837941	1838052	1838161	1838208
224	"ENSG00000110025.13_5"	"SNX15"	chr11	+	64802991	64806301	64802991	64803135	64806043	64806301
225	"ENSG00000071462.12_7"	"BUD23"	chr7	+	73106925	73107744	73106925	73106976	73107658	73107744
234	"ENSG00000145191.15_8"	"EIF2B5"	chr3	+	183855407	183855863	183855407	183855593	183855661	183855863
235	"ENSG00000145191.15_8"	"EIF2B5"	chr3	+	183855407	183855863	183855407	183855593	183855685	183855863
236	"ENSG00000145191.15_8"	"EIF2B5"	chr3	+	183857867	183858518	183857867	183857945	183858205	183858518
237	"ENSG00000145191.15_8"	"EIF2B5"	chr3	+	183857867	183858518	183857867	183858009	183858205	183858518
263	"ENSG00000108828.16_6"	"VAT1"	chr17	-	41166623	41168161	41166623	41166890	41167957	41168161
265	"ENSG00000128596.17_7"	"CCDC136"	chr7	+	128446290	128446912	128446290	128446449	128446741	128446912
266	"ENSG00000115317.11_3"	"HTRA2"	chr2	+	74758465	74758829	74758465	74758498	74758693	74758829
267	"ENSG00000115317.11_3"	"HTRA2"	chr2	+	74758465	74758829	74758465	74758498	74758723	74758829
