ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21901413	21901548	21903203	21903374	21897506	21897636	21903620	21903743
1	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21903203	21903374	21903620	21903743	21901413	21901548	21905047	21905125
2	"ENSG00000183878.15_8"	"UTY"	chrY	-	15470343	15470499	15470967	15471102	15469756	15469849	15471646	15471866
3	"ENSG00000198223.16_5_PAR_Y"	"CSF2RA"	chrY	+	1369383	1369519	1372815	1372912	1364319	1364349	1374338	1374420
4	"ENSG00000205755.12_5_PAR_Y"	"CRLF2"	chrY	-	1267418	1267581	1267663	1268008	1264893	1265014	1271271	1271405
5	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154300601	154300618	154301651	154301706	154299705	154299925	154305444	154305564
6	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153993173	153993241	153993718	153993805	153991016	153991256	153994181	153994273
7	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153735736	153735821	153736141	153736192	153735533	153735660	153736619	153736678
8	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153735736	153735821	153736141	153736213	153735533	153735660	153736619	153736678
9	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153736804	153736928	153740180	153740204	153736619	153736678	153741146	153741260
10	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153740180	153740204	153741146	153741260	153736804	153736928	153744083	153744136
11	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608379	153608593	153608727	153607984	153608154	153609112	153609162
12	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153593716	153593854	153594391	153594592	153593503	153593627	153594675	153594838
13	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153279492	153279729	153281482	153281548	153278493	153278884	153281887	153282095
14	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199395	153199454	153199829	153199928	153197991	153198037	153200336	153200411
15	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199413	153199454	153199829	153199928	153197991	153198037	153200336	153200468
16	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153176375	153176453	153176582	153176643	153176153	153176288	153178153	153178256
17	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153184285	153184507	153186549	153186612	153179231	153179333	153186817	153186980
18	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186549	153186612	153186817	153186980	153179231	153179333	153187057	153187262
19	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186549	153186612	153186817	153186980	153186079	153186262	153187057	153187262
20	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153052918	153053052	153053277	153053410	153052505	153052608	153053529	153053590
21	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153056018	153056030	153056250	153056306	153055649	153055747	153059700	153059811
22	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152719966	152720999	152721224	152713123	152713367	152721722	152721822
23	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152719966	152720999	152721106	152713127	152713367	152721722	152721751
24	"ENSG00000183479.8"	"TREX2"	chrX	-	152730445	152730513	152734603	152734719	152728067	152728129	152735907	152736045
25	"ENSG00000166049.11_5"	"PASD1"	chrX	+	150773117	150773206	150780135	150780225	150769998	150770053	150789401	150789501
26	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149880813	149880837	149882950	149883001	149867667	149867773	149887096	149887172
27	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149881201	149881225	149881415	149881442	149880813	149880837	149882950	149883001
28	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149881415	149881442	149882950	149883001	149880813	149880837	149887096	149887172
29	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149881415	149881442	149882950	149883004	149880813	149880837	149887096	149887172
30	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149919201	149919315	149924160	149924337	149912832	149912925	149931037	149931210
31	"ENSG00000171100.15_7"	"MTM1"	chrX	+	149767055	149767150	149783061	149783172	149764961	149765034	149787510	149787612
