ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22606812	22606924	22607200	22607235	22605316	22605485	22607581	22607642
1	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607033	22607097	22607200	22607235	22605373	22605485	22607581	22607642
3	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607200	22607235	22607581	22607642	22607033	22607097	22607734	22607791
5	"ENSG00000143420.19_5"	"ENSA"	chr1	-	150598117	150598284	150599787	150600068	150595204	150595335	150601889	150601978
9	"ENSG00000168883.20_6"	"USP39"	chr2	+	85848607	85848702	85850768	85850905	85846342	85846412	85852661	85852712
12	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23865845	23866463	23872209	23872345	23861934	23862024	23873389	23873495
13	"ENSG00000258210.1_8"	"AC144548.1"	chr12	-	110826316	110826428	110832905	110833025	110825267	110825697	110834070	110834257
14	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41103816	41103911	41105740	41105795	41102542	41102745	41106892	41106984
15	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41103816	41103911	41106892	41106984	41102542	41102745	41107174	41107241
16	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41105740	41105795	41107174	41107241	41103816	41103911	41107858	41107989
17	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41107858	41107989	41108220	41108337	41107174	41107241	41108420	41108521
18	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41123623	41123713	41131186	41131285	41122305	41122359	41131394	41131461
19	"ENSG00000153339.14_6"	"TRAPPC8"	chr18	-	29412046	29412136	29419274	29419420	29409142	29410952	29426678	29426780
20	"ENSG00000153339.14_6"	"TRAPPC8"	chr18	-	29435622	29435770	29437502	29437683	29433811	29433908	29444589	29444744
21	"ENSG00000153339.14_6"	"TRAPPC8"	chr18	-	29435622	29435770	29437502	29437945	29433811	29433908	29444589	29444744
23	"ENSG00000213066.13_6"	"FGFR1OP"	chr6	+	167440034	167440103	167446090	167446130	167438269	167438382	167447362	167447459
24	"ENSG00000284512.1_7"	"AC092718.8"	chr16	-	81121205	81121269	81124205	81124285	81118067	81118199	81129735	81129889
26	"ENSG00000064012.22_10"	"CASP8"	chr2	+	202131183	202131514	202136238	202136344	202122758	202123105	202137360	202137499
27	"ENSG00000064012.22_10"	"CASP8"	chr2	+	202131183	202131514	202136238	202136344	202125222	202125336	202137360	202137499
29	"ENSG00000064012.22_10"	"CASP8"	chr2	+	202131209	202131514	202136238	202136344	202122840	202123105	202137360	202137461
30	"ENSG00000064012.22_10"	"CASP8"	chr2	+	202131209	202131514	202136238	202136344	202125258	202125336	202137360	202137499
