ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354669	59355130	59354669	59354816	59354984	59355130
1	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354669	59355130	59354669	59354816	59354993	59355130
2	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354984	59355505	59354984	59355130	59355369	59355505
3	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354993	59355505	59354993	59355210	59355369	59355505
4	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21868326	21868749	21868326	21868526	21868679	21868749
5	"ENSG00000229549.9_7"	"TSPY8"	chrY	+	9195451	9195937	9195451	9195538	9195799	9195937
6	"ENSG00000233803.9_6"	"TSPY4"	chrY	+	9175118	9175622	9175118	9175205	9175484	9175622
7	"ENSG00000167393.18_8_PAR_Y"	"PPP2R3B"	chrY	-	252041	252666	252041	252131	252617	252666
8	"ENSG00000182378.14_8_PAR_Y"	"PLCXD1"	chrY	+	165763	170020	165763	166132	169503	170020
9	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251663	155252124	155251663	155251810	155251978	155252124
10	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251663	155252124	155251663	155251810	155251987	155252124
11	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251978	155252499	155251978	155252124	155252363	155252499
12	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251987	155252499	155251987	155252204	155252363	155252499
13	"ENSG00000130826.18_5"	"DKC1"	chrX	+	154002876	154003548	154002876	154002980	154003469	154003548
14	"ENSG00000184033.13_5"	"CTAG1B"	chrX	-	153845864	153846529	153845864	153846155	153846394	153846529
15	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153744083	153744566	153744083	153744136	153744233	153744566
16	"ENSG00000126903.16_6"	"SLC10A3"	chrX	-	153715644	153717421	153715644	153716835	153716922	153717421
17	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608727	153608301	153608379	153608593	153608727
18	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153284881	153285263	153284881	153285049	153285127	153285263
19	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153197523	153197884	153197523	153197568	153197768	153197884
20	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153175624	153176065	153175624	153175858	153175959	153176065
21	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153178671	153179054	153178671	153178756	153178862	153179054
22	"ENSG00000198753.12_6"	"PLXNB3"	chrX	+	153042982	153043550	153042982	153043143	153043402	153043550
23	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152936739	152937127	152936739	152936815	152937003	152937127
24	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152936739	152937127	152936739	152936888	152937007	152937127
25	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152937334	152937655	152937334	152937473	152937580	152937655
26	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152938020	152938533	152938020	152938121	152938463	152938533
27	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152938020	152938533	152938020	152938152	152938463	152938533
28	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152938020	152938533	152938020	152938239	152938463	152938533
29	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152721224	152719851	152719966	152720999	152721224
30	"ENSG00000198883.12_8"	"PNMA5"	chrX	-	152160445	152160761	152160445	152160521	152160621	152160761
31	"ENSG00000183305.13_4"	"MAGEA2B"	chrX	+	151883335	151883646	151883335	151883417	151883567	151883646
32	"ENSG00000124260.12_8"	"MAGEA10"	chrX	-	151304232	151304552	151304232	151304306	151304461	151304552
33	"ENSG00000124260.12_8"	"MAGEA10"	chrX	-	151304232	151304552	151304232	151304306	151304533	151304552
34	"ENSG00000166049.11_5"	"PASD1"	chrX	+	150840654	150842658	150840654	150841133	150842399	150842658
35	"ENSG00000235703.6_8"	"LINC00894"	chrX	+	149113565	149116393	149113565	149113895	149114001	149116393
36	"ENSG00000197620.11_9"	"EOLA1"	chrX	+	148622745	148623611	148622745	148622888	148623563	148623611
37	"ENSG00000241769.7_9"	"LINC00893"	chrX	-	148615356	148615474	148615356	148615425	148615426	148615474
38	"ENSG00000268066.5_4"	"FMR1-AS1"	chrX	-	146990948	146993335	146990948	146992513	146992895	146993335
39	"ENSG00000268066.5_4"	"FMR1-AS1"	chrX	-	146990948	146993335	146990948	146992513	146993159	146993335
40	"ENSG00000165509.13_5"	"MAGEC3"	chrX	+	140984667	140985618	140984667	140985272	140985414	140985618
41	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139793785	139798454	139793785	139793821	139795681	139798454
42	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139854242	139858070	139854242	139856472	139856567	139858070
