ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
16	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153178671	153179054	153178862	153179054	153178477	153178505
20	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152937334	152937655	152937580	152937655	152937003	152937127
22	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152721224	152720999	152721224	152713127	152713367
28	"ENSG00000197021.9_7"	"EOLA2"	chrX	-	149105631	149105698	149105650	149105698	149102594	149102791
45	"ENSG00000102034.17_4"	"ELF4"	chrX	-	129215229	129215513	129215410	129215513	129208555	129208727
52	"ENSG00000223546.7_8"	"LINC00630"	chrX	+	102081896	102082072	102081896	102082064	102089555	102090273
53	"ENSG00000223546.7_8"	"LINC00630"	chrX	+	102094728	102094900	102094728	102094791	102098256	102098335
58	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100297030	100297301	100297221	100297301	100292905	100293040
63	"ENSG00000281566.3_7"	"AL157778.1"	chrX	+	97986528	97986582	97986528	97986575	98096938	98096999
64	"ENSG00000281566.3_7"	"AL157778.1"	chrX	+	97986528	97986582	97986528	97986575	98119608	98120562
67	"ENSG00000165240.20_6"	"ATP7A"	chrX	+	77178495	77178549	77178495	77178539	77227117	77227258
103	"ENSG00000102312.22_6"	"PORCN"	chrX	+	48367811	48368095	48367811	48367965	48368171	48368344
105	"ENSG00000068438.15_5"	"FTSJ1"	chrX	+	48339813	48340103	48339813	48339916	48340790	48340894
111	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38146346	38147294	38147113	38147294	38135839	38136025
113	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38147113	38147294	38147117	38147294	38135839	38136025
121	"ENSG00000196459.14_5"	"TRAPPC2"	chrX	-	13752162	13752304	13752168	13752304	13738546	13738616
124	"ENSG00000285756.2_4"	"BX890604.2"	chrX	-	3784962	3785847	3784990	3785847	3781542	3781686
125	"ENSG00000285756.2_4"	"BX890604.2"	chrX	-	3784962	3785847	3784990	3785847	3783083	3783183
128	"ENSG00000079974.17_5"	"RABL2B"	chr22	-	51221196	51221473	51221318	51221473	51220615	51220779
130	"ENSG00000254413.8_4"	"CHKB-CPT1B"	chr22	-	51018155	51018259	51018219	51018259	51017854	51017936
132	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50719788	50720171	50719994	50720171	50719517	50719618
136	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50685107	50685395	50685303	50685395	50684726	50684805
144	"ENSG00000224271.7_8"	"AL117329.1"	chr22	+	48030928	48031104	48030928	48031102	48032436	48032964
153	"ENSG00000205702.11_7"	"CYP2D7"	chr22	-	42537543	42537685	42537634	42537685	42537380	42537406
186	"ENSG00000100325.15_7"	"ASCC2"	chr22	-	30230430	30230539	30230477	30230539	30221610	30221769
194	"ENSG00000100209.11_4"	"HSCB"	chr22	+	29140602	29140697	29140602	29140692	29147228	29147276
200	"ENSG00000244625.7_8"	"MIATNB"	chr22	+	27122606	27122757	27122606	27122683	27170118	27170180
206	"ENSG00000286070.1_2"	"GGT1"	chr22	+	24963951	24964144	24963951	24964005	24967883	24967985
212	"ENSG00000272578.5_7"	"AP000347.1"	chr22	-	24028976	24029182	24029024	24029182	24025930	24026054
214	"ENSG00000100038.19_7"	"TOP3B"	chr22	-	22316499	22316974	22316800	22316974	22314692	22314821
215	"ENSG00000100038.19_7"	"TOP3B"	chr22	-	22316800	22317265	22317118	22317265	22314692	22314821
226	"ENSG00000070010.19_9"	"UFD1"	chr22	-	19442271	19442353	19442324	19442353	19439400	19439523
229	"ENSG00000100075.10_5"	"SLC25A1"	chr22	-	19165239	19165554	19165454	19165554	19164632	19164717
