ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607033	22607097	22605373	22605485	22607200	22607235
4	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607033	22607097	22606785	22606924	22607281	22607293
6	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607200	22607235	22607033	22607097	22607581	22607642
7	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607581	22607642	22607200	22607235	22607734	22607755
8	"ENSG00000148444.16_6"	"COMMD3"	chr10	+	22607734	22607791	22607200	22607235	22607887	22607947
14	"ENSG00000110660.15_8"	"SLC35F2"	chr11	-	107675443	107675496	107673726	107673881	107677442	107677602
15	"ENSG00000110660.15_8"	"SLC35F2"	chr11	-	107676084	107676241	107673726	107673881	107677442	107677602
16	"ENSG00000110660.15_8"	"SLC35F2"	chr11	-	107676084	107676241	107675443	107675496	107677442	107677602
21	"ENSG00000143420.19_5"	"ENSA"	chr1	-	150599787	150600068	150597940	150598284	150601889	150601978
22	"ENSG00000143420.19_5"	"ENSA"	chr1	-	150599873	150600068	150596097	150598284	150601889	150602053
23	"ENSG00000143420.19_5"	"ENSA"	chr1	-	150599942	150600068	150595756	150598284	150601889	150601946
27	"ENSG00000082996.19_7"	"RNF13"	chr3	+	149563797	149563927	149531623	149532118	149570302	149570383
38	"ENSG00000135241.17_9"	"PNPLA8"	chr7	-	108119627	108119823	108110860	108113119	108128202	108128397
39	"ENSG00000135241.17_9"	"PNPLA8"	chr7	-	108128202	108128397	108110860	108113119	108131853	108131911
40	"ENSG00000135241.17_9"	"PNPLA8"	chr7	-	108137027	108137199	108131853	108131911	108137926	108138021
41	"ENSG00000135241.17_9"	"PNPLA8"	chr7	-	108137926	108138021	108131853	108131911	108142934	108143086
49	"ENSG00000196878.15_6"	"LAMB3"	chr1	-	209796326	209796524	209795880	209796025	209796849	209797070
50	"ENSG00000251273.4_9"	"LINC02228"	chr5	-	25162338	25162378	25136450	25136554	25167270	25167300
51	"ENSG00000251273.4_9"	"LINC02228"	chr5	-	25167636	25167697	25167270	25167300	25190555	25190651
52	"ENSG00000106344.8_8"	"RBM28"	chr7	-	127953227	127953327	127937737	127950984	127954816	127955073
53	"ENSG00000106344.8_8"	"RBM28"	chr7	-	127957711	127957786	127954816	127955073	127958009	127958159
54	"ENSG00000106344.8_8"	"RBM28"	chr7	-	127958009	127958159	127954816	127955073	127961318	127961477
56	"ENSG00000106344.8_8"	"RBM28"	chr7	-	127973343	127973416	127970871	127970981	127975596	127975733
72	"ENSG00000165271.17_6"	"NOL6"	chr9	-	33466566	33466707	33466305	33466423	33466909	33466985
73	"ENSG00000165271.17_6"	"NOL6"	chr9	-	33467688	33467866	33467391	33467514	33468027	33468143
74	"ENSG00000165271.17_6"	"NOL6"	chr9	-	33468027	33468143	33467391	33467514	33468318	33468420
75	"ENSG00000165271.17_6"	"NOL6"	chr9	-	33469496	33469665	33469204	33469339	33470009	33470189
82	"ENSG00000168883.20_6"	"USP39"	chr2	+	85848607	85848702	85846342	85846412	85850768	85850905
83	"ENSG00000168883.20_6"	"USP39"	chr2	+	85850748	85850905	85848607	85848702	85852661	85852740
84	"ENSG00000168883.20_6"	"USP39"	chr2	+	85850768	85850905	85848607	85848702	85852661	85852712
86	"ENSG00000168883.20_6"	"USP39"	chr2	+	85863175	85863253	85857843	85858069	85864491	85864559
90	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23847479	23847587	23845133	23845279	23854626	23854788
91	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23854894	23855017	23854626	23854788	23861934	23862024
92	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23865845	23866463	23861934	23862024	23872209	23872345
93	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23872194	23872345	23865845	23866463	23873389	23873495
94	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23872209	23872345	23865845	23866463	23873389	23873495
95	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23875158	23875278	23873389	23873495	23895192	23895362
96	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23895192	23895362	23873389	23873495	23901033	23901164
97	"ENSG00000141384.13_4"	"TAF4B"	chr18	+	23915138	23915195	23906978	23907104	23937653	23937758
99	"ENSG00000153936.17_5"	"HS2ST1"	chr1	+	87563520	87563618	87558213	87558352	87569114	87569272
100	"ENSG00000141458.13_6"	"NPC1"	chr18	-	21127969	21128072	21124923	21125113	21131590	21131691
102	"ENSG00000141458.13_6"	"NPC1"	chr18	-	21141323	21141491	21140194	21140444	21148786	21148962
103	"ENSG00000141458.13_6"	"NPC1"	chr18	-	21152037	21152144	21148786	21148962	21153415	21153538
104	"ENSG00000141458.13_6"	"NPC1"	chr18	-	21153415	21153538	21148786	21148962	21166250	21166470
105	"ENSG00000215158.9_7"	"AC138409.2"	chr5	-	34175549	34175642	34164802	34169258	34175926	34176062
106	"ENSG00000215158.9_7"	"AC138409.2"	chr5	-	34182784	34182972	34179117	34179202	34218399	34218448
108	"ENSG00000215158.9_7"	"AC138409.2"	chr5	-	34220021	34220055	34218399	34218555	34244720	34244803
109	"ENSG00000215158.9_7"	"AC138409.2"	chr5	-	34239479	34239553	34218399	34218555	34244720	34244901
117	"ENSG00000274487.2_7"	"NPEPPSP1"	chr17	-	36352421	36352526	36351758	36351996	36353600	36353765
118	"ENSG00000274487.2_7"	"NPEPPSP1"	chr17	-	36358298	36358395	36358124	36358158	36358796	36359042
119	"ENSG00000274487.2_7"	"NPEPPSP1"	chr17	-	36358298	36358395	36358124	36358158	36358841	36359042
120	"ENSG00000274487.2_7"	"NPEPPSP1"	chr17	-	36361696	36361804	36358796	36359042	36365054	36365176
121	"ENSG00000274487.2_7"	"NPEPPSP1"	chr17	-	36398217	36398302	36375099	36375177	36412904	36413159
124	"ENSG00000176170.14_6"	"SPHK1"	chr17	+	74382473	74382589	74382301	74382396	74382886	74382968
135	"ENSG00000258210.1_8"	"AC144548.1"	chr12	-	110826316	110826428	110825267	110825697	110832905	110833025
136	"ENSG00000258210.1_8"	"AC144548.1"	chr12	-	110832905	110833025	110826316	110826428	110834070	110834257
137	"ENSG00000120256.11_6"	"LRP11"	chr6	-	150147399	150147495	150139892	150141839	150157220	150157433
139	"ENSG00000141034.10_5"	"GID4"	chr17	+	17965158	17965289	17962181	17962283	17968493	17968597
147	"ENSG00000072818.12_7"	"ACAP1"	chr17	+	7247367	7247442	7247179	7247275	7247857	7247966
153	"ENSG00000138286.15_5"	"FAM149B1"	chr10	+	74970008	74970196	74968376	74968544	74987817	74987918
154	"ENSG00000138286.15_5"	"FAM149B1"	chr10	+	74987817	74987918	74970008	74970196	74994574	74994698
155	"ENSG00000138286.15_5"	"FAM149B1"	chr10	+	74990179	74990283	74987817	74987918	74992696	74992921
156	"ENSG00000138286.15_5"	"FAM149B1"	chr10	+	74990179	74990283	74987817	74987942	74992696	74992921
157	"ENSG00000138286.15_5"	"FAM149B1"	chr10	+	74992696	74992921	74987817	74987918	74994574	74994698
160	"ENSG00000138286.15_5"	"FAM149B1"	chr10	+	74994950	74995076	74994574	74994698	74999069	74999142
170	"ENSG00000283201.1_9"	"AC092329.3"	chr19	-	23453019	23453094	23444421	23444546	23456877	23457023
171	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41103816	41103911	41102542	41102745	41105740	41105795
172	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41103816	41103911	41102542	41102745	41106892	41106984
173	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41105740	41105795	41102542	41102745	41106892	41106984
174	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41105740	41105795	41102542	41102745	41107858	41107989
175	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41105740	41105795	41103816	41103911	41106892	41106984
176	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41106892	41106984	41103816	41103911	41107174	41107241
177	"ENSG00000108825.17_6"	"PTGES3L-AARSD1"	chr17	-	41107858	41107989	41107174	41107241	41108220	41108337
