ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
71	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251170	155251228	155250490	155250813	155251358	155251457
74	"ENSG00000124334.17_5"	"IL9R"	chrX	+	155233341	155233520	155233113	155233225	155234084	155234230
75	"ENSG00000124334.17_5"	"IL9R"	chrX	+	155234942	155235144	155234084	155234230	155235747	155235853
78	"ENSG00000155962.13_6"	"CLIC2"	chrX	-	154509250	154509357	154508437	154508619	154528097	154528223
79	"ENSG00000155962.13_6"	"CLIC2"	chrX	-	154509250	154509357	154508437	154508619	154563679	154563736
81	"ENSG00000155962.13_6"	"CLIC2"	chrX	-	154528348	154528458	154509250	154509357	154563679	154563851
83	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154300601	154300618	154299694	154299925	154301651	154301706
84	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154300601	154300618	154299694	154299925	154305444	154305558
85	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154301648	154301706	154300601	154300618	154305444	154305558
86	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154301651	154301706	154299705	154299925	154305444	154305558
87	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154301651	154301706	154300601	154300618	154305444	154305558
90	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153993173	153993241	153991016	153991256	153993718	153993805
91	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153993718	153993805	153993173	153993241	153994181	153994273
93	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153996576	153996587	153995530	153995657	153997441	153997566
94	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153996576	153996707	153995530	153995657	153997441	153997485
95	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153997441	153997585	153995530	153995657	153999033	153999151
96	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153999033	153999154	153997441	153997585	154001405	154001524
99	"ENSG00000160219.12_5"	"GAB3"	chrX	-	153924191	153924294	153908408	153908525	153925406	153925488
101	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153735736	153735821	153735533	153735660	153736141	153736192
107	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153740180	153740204	153736783	153736928	153741146	153741260
111	"ENSG00000126903.16_6"	"SLC10A3"	chrX	-	153718280	153718366	153715649	153717421	153718932	153718967
112	"ENSG00000126903.16_6"	"SLC10A3"	chrX	-	153718645	153718697	153715681	153717421	153718932	153718953
114	"ENSG00000130827.6_5"	"PLXNA3"	chrX	+	153695399	153695493	153694965	153695136	153695574	153695814
115	"ENSG00000130827.6_5"	"PLXNA3"	chrX	+	153698030	153698127	153697721	153697825	153698319	153698510
118	"ENSG00000203879.12_4"	"GDI1"	chrX	+	153670457	153670602	153668870	153670141	153670720	153670775
119	"ENSG00000203879.12_4"	"GDI1"	chrX	+	153670720	153670775	153668870	153670141	153670866	153671075
124	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608379	153607984	153608154	153608593	153608727
125	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608593	153608727	153608301	153608379	153609112	153609162
128	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153582983	153583079	153582748	153582851	153583192	153583257
130	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153590785	153590946	153590609	153590700	153591028	153591152
131	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153593716	153593854	153593503	153593627	153594391	153594592
133	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153594391	153594592	153593716	153593854	153594675	153594838
134	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153596008	153596106	153595764	153595912	153596209	153596458
138	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153277979	153278129	153275956	153277368	153281482	153281524
140	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153278493	153278794	153277979	153278129	153281482	153281548
141	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153278493	153278884	153277181	153277368	153281482	153281548
143	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153278493	153278884	153277979	153278129	153281482	153281548
144	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153279492	153279729	153277979	153278129	153281482	153281524
147	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153281482	153281548	153275956	153277368	153281887	153282095
151	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199395	153199454	153197991	153198037	153199829	153199928
152	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199413	153199454	153197991	153198037	153199829	153199928
153	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199829	153199928	153199112	153199454	153200336	153200411
158	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153176582	153176643	153176375	153176453	153178153	153178191
159	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153178671	153178756	153178477	153178505	153178862	153179054
160	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153179231	153179333	153178862	153178970	153184285	153184507
166	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186817	153186980	153186549	153186612	153187057	153187262
170	"ENSG00000198910.14_7"	"L1CAM"	chrX	-	153138682	153138697	153138046	153138152	153141215	153141302
173	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153051666	153051727	153051222	153051428	153051809	153051904
174	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153052255	153052402	153051221	153051904	153052505	153052608
175	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153052918	153053052	153052505	153052608	153053277	153053410
176	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153053277	153053410	153052845	153053052	153053529	153053590
178	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153055166	153055279	153053529	153053590	153055649	153055747
