ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354669	59355130	59354669	59354816	59354984	59355130	0	0,0	0,0			267	99	NA	NA	NA,NA		NA
1	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354669	59355130	59354669	59354816	59354993	59355130	1	0,0	0,0			276	99	NA	NA	NA,NA		NA
2	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354984	59355505	59354984	59355130	59355369	59355505	2	0,0	0,0			338	99	NA	NA	NA,NA		NA
3	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354993	59355505	59354993	59355210	59355369	59355505	3	0,0	0,0			258	99	NA	NA	NA,NA		NA
4	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21868326	21868749	21868326	21868526	21868679	21868749	4	0,0	0,0			252	99	NA	NA	NA,NA		NA
5	"ENSG00000229549.9_7"	"TSPY8"	chrY	+	9195451	9195937	9195451	9195538	9195799	9195937	5	0,0	0,0			360	99	NA	NA	NA,NA		NA
6	"ENSG00000233803.9_6"	"TSPY4"	chrY	+	9175118	9175622	9175118	9175205	9175484	9175622	6	0,0	0,0			378	99	NA	NA	NA,NA		NA
7	"ENSG00000167393.18_8_PAR_Y"	"PPP2R3B"	chrY	-	252041	252666	252041	252131	252617	252666	7	0,0	0,0			585	99	NA	NA	NA,NA		NA
8	"ENSG00000182378.14_8_PAR_Y"	"PLCXD1"	chrY	+	165763	170020	165763	166132	169503	170020	8	0,0	0,0			3470	99	NA	NA	NA,NA		NA
9	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251663	155252124	155251663	155251810	155251978	155252124	9	0,4	19,14			267	99	NA	NA	0.0,0.096		NA
10	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251663	155252124	155251663	155251810	155251987	155252124	10	0,4	7,4			276	99	NA	NA	0.0,0.264		NA
11	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251978	155252499	155251978	155252124	155252363	155252499	11	18,24	15,7			338	99	NA	NA	0.26,0.501		NA
12	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251987	155252499	155251987	155252204	155252363	155252499	12	10,13	11,4			258	99	NA	NA	0.259,0.555		NA
13	"ENSG00000130826.18_5"	"DKC1"	chrX	+	154002876	154003548	154002876	154002980	154003469	154003548	13	185,122	1510,874			588	99	NA	NA	0.02,0.023		NA
14	"ENSG00000184033.13_5"	"CTAG1B"	chrX	-	153845864	153846529	153845864	153846155	153846394	153846529	14	0,0	0,1			338	99	NA	NA	NA,0.0		NA
15	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153744083	153744566	153744083	153744136	153744233	153744566	15	43,108	9,20			196	99	NA	NA	0.707,0.732		NA
16	"ENSG00000126903.16_6"	"SLC10A3"	chrX	-	153715644	153717421	153715644	153716835	153716922	153717421	16	212,253	20,34			186	99	NA	NA	0.849,0.798		NA
17	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608727	153608301	153608379	153608593	153608727	17	237,135	1707,1053			313	99	NA	NA	0.042,0.039		NA
18	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153284881	153285263	153284881	153285049	153285127	153285263	18	0,0	3,2			177	99	NA	NA	0.0,0.0		NA
19	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153197523	153197884	153197523	153197568	153197768	153197884	19	105,90	2159,1197			299	99	NA	NA	0.016,0.024		NA
20	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153175624	153176065	153175624	153175858	153175959	153176065	20	17,29	42,118			200	99	NA	NA	0.167,0.108		NA
21	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153178671	153179054	153178671	153178756	153178862	153179054	21	22,41	50,53			205	99	NA	NA	0.175,0.272		NA
22	"ENSG00000198753.12_6"	"PLXNB3"	chrX	+	153042982	153043550	153042982	153043143	153043402	153043550	22	2,1	2,2			358	99	NA	NA	0.217,0.121		NA
23	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152936739	152937127	152936739	152936815	152937003	152937127	23	7,2	2,3			287	99	NA	NA	0.547,0.187		NA
24	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152936739	152937127	152936739	152936888	152937007	152937127	24	4,2	0,0			218	99	NA	NA	1.0,1.0		NA
25	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152937334	152937655	152937334	152937473	152937580	152937655	25	2,0	1,3			206	99	NA	NA	0.49,0.0		NA
26	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152938020	152938533	152938020	152938121	152938463	152938533	26	2,1	0,0			441	99	NA	NA	1.0,1.0		NA
27	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152938020	152938533	152938020	152938152	152938463	152938533	27	0,1	5,0			410	99	NA	NA	0.0,1.0		NA
28	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152938020	152938533	152938020	152938239	152938463	152938533	28	1,0	0,0			323	99	NA	NA	1.0,NA		NA
29	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152721224	152719851	152719966	152720999	152721224	29	156,158	60,45			1132	99	NA	NA	0.185,0.235		NA
30	"ENSG00000198883.12_8"	"PNMA5"	chrX	-	152160445	152160761	152160445	152160521	152160621	152160761	30	0,0	0,0			199	99	NA	NA	NA,NA		NA
31	"ENSG00000183305.13_4"	"MAGEA2B"	chrX	+	151883335	151883646	151883335	151883417	151883567	151883646	31	0,0	0,0			249	99	NA	NA	NA,NA		NA
32	"ENSG00000124260.12_8"	"MAGEA10"	chrX	-	151304232	151304552	151304232	151304306	151304461	151304552	32	1,0	0,0			254	99	NA	NA	1.0,NA		NA
33	"ENSG00000124260.12_8"	"MAGEA10"	chrX	-	151304232	151304552	151304232	151304306	151304533	151304552	33	1,0	1,0			326	99	NA	NA	0.233,NA		NA
34	"ENSG00000166049.11_5"	"PASD1"	chrX	+	150840654	150842658	150840654	150841133	150842399	150842658	34	2,13	144,102			1365	99	NA	NA	0.001,0.009		NA
35	"ENSG00000235703.6_8"	"LINC00894"	chrX	+	149113565	149116393	149113565	149113895	149114001	149116393	35	12,13	0,0			205	99	NA	NA	1.0,1.0		NA
36	"ENSG00000197620.11_9"	"EOLA1"	chrX	+	148622745	148623611	148622745	148622888	148623563	148623611	36	13,10	32,38			774	99	NA	NA	0.049,0.033		NA
37	"ENSG00000241769.7_9"	"LINC00893"	chrX	-	148615356	148615474	148615356	148615425	148615426	148615474	37	0,0	0,0			100	99	NA	NA	NA,NA		NA
38	"ENSG00000268066.5_4"	"FMR1-AS1"	chrX	-	146990948	146993335	146990948	146992513	146992895	146993335	38	2,0	0,0			481	99	NA	NA	1.0,NA		NA
39	"ENSG00000268066.5_4"	"FMR1-AS1"	chrX	-	146990948	146993335	146990948	146992513	146993159	146993335	39	2,0	1,0			745	99	NA	NA	0.21,NA		NA
40	"ENSG00000165509.13_5"	"MAGEC3"	chrX	+	140984667	140985618	140984667	140985272	140985414	140985618	40	0,0	0,0			241	99	NA	NA	NA,NA		NA
41	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139793785	139798454	139793785	139793821	139795681	139798454	41	0,0	0,0			1959	99	NA	NA	NA,NA		NA
42	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139854242	139858070	139854242	139856472	139856567	139858070	42	0,0	0,0			194	99	NA	NA	NA,NA		NA
43	"ENSG00000233093.6_6"	"LINC00892"	chrX	+	135722932	135724585	135722932	135722999	135724261	135724585	43	0,0	0,0			1361	99	NA	NA	NA,NA		NA
44	"ENSG00000233093.6_6"	"LINC00892"	chrX	+	135722932	135724585	135722932	135723032	135724261	135724585	44	0,0	0,0			1328	99	NA	NA	NA,NA		NA
45	"ENSG00000198689.11_6"	"SLC9A6"	chrX	+	135067593	135067986	135067593	135067636	135067761	135067986	45	1,1	1,1			224	99	NA	NA	0.307,0.307		NA
46	"ENSG00000156500.15_6"	"FAM122C"	chrX	+	133941220	133941738	133941220	133941371	133941569	133941738	46	127,88	40,25			297	99	NA	NA	0.514,0.54		NA
47	"ENSG00000269556.8_11"	"TMEM185A"	chrX	-	148678216	148679915	148678216	148678842	148678920	148679915	47	0,0	0,0			177	99	NA	NA	NA,NA		NA
48	"ENSG00000165675.16_7"	"ENOX2"	chrX	-	129799616	129799723	129799616	129799649	129799650	129799723	48	108,49	0,0			100	99	NA	NA	1.0,1.0		NA
49	"ENSG00000134597.16_5"	"RBMX2"	chrX	+	129545321	129545499	129545321	129545480	129545481	129545499	49	458,245	0,0			100	99	NA	NA	1.0,1.0		NA
50	"ENSG00000102034.17_4"	"ELF4"	chrX	-	129203274	129203652	129203274	129203457	129203459	129203652	50	240,190	0,0			101	99	NA	NA	1.0,1.0		NA
51	"ENSG00000102034.17_4"	"ELF4"	chrX	-	129215229	129215513	129215229	129215286	129215410	129215513	51	284,185	0,0			223	99	NA	NA	1.0,1.0		NA
52	"ENSG00000197565.16_6"	"COL4A6"	chrX	-	107408106	107408268	107408106	107408151	107408187	107408268	52	0,0	0,0			135	99	NA	NA	NA,NA		NA
53	"ENSG00000101843.19_5"	"PSMD10"	chrX	-	107331182	107331329	107331182	107331202	107331325	107331329	53	780,510	1,1			222	99	NA	NA	0.997,0.996		NA
54	"ENSG00000166707.11_4"	"ZCCHC18"	chrX	+	103358124	103360533	103358124	103358264	103359942	103360533	54	0,0	0,0			1777	99	NA	NA	NA,NA		NA
55	"ENSG00000288597.1_1"	"AC234782.4"	chrX	-	102978783	102979229	102978783	102978866	102979005	102979229	55	0,0	0,0			238	99	NA	NA	NA,NA		NA
56	"ENSG00000284800.1_5"	"AC235565.2"	chrX	-	101624506	101625073	101624506	101624657	101624883	101625073	56	17,9	0,0			325	99	NA	NA	1.0,1.0		NA
57	"ENSG00000102393.12_5"	"GLA"	chrX	-	100653357	100653934	100653357	100653555	100653772	100653934	57	173,74	278,208			316	99	NA	NA	0.163,0.1		NA
58	"ENSG00000010671.16_4"	"BTK"	chrX	-	100608857	100608976	100608857	100608905	100608906	100608976	58	300,229	0,0			100	99	NA	NA	1.0,1.0		NA
59	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100306239	100306722	100306239	100306355	100306632	100306722	59	23,26	1,0			376	99	NA	NA	0.858,1.0		NA
60	"ENSG00000126733.21_7"	"DACH2"	chrX	+	86082768	86087605	86082768	86082815	86087108	86087605	60	0,0	0,0			4392	99	NA	NA	NA,NA		NA
61	"ENSG00000225470.8_6"	"JPX"	chrX	+	73164173	73164497	73164173	73164300	73164418	73164497	61	1,0	217,219			217	99	NA	NA	0.002,0.0		NA
62	"ENSG00000225470.8_6"	"JPX"	chrX	+	73218602	73220331	73218602	73218679	73218788	73220331	62	22,13	34,27			208	99	NA	NA	0.235,0.186		NA
